Fac_Name,wrs_tss,wrs_turbidity,wrs_n,wrs_nn,wrs_an,wrs_p,wrs_og,wrs_cu,wrs_zn,wrs_fe,wrs_phmin,wrs_phmax
Aikahi Fire Station,0,0,0,0,0,0,15,6,22,1000,5.5,8
Central Oahu Regional Park (including Maintenance Baseyard),50,15,0.52,0.18,0,0.1,15,6,22,1000,5.5,8
Ewa Villages Golf Course,30,5.5,0.38,0.09,0,0.06,15,6,22,1000,5.5,8
Halawa (AES) Corporation Yard,50,15,0.52,0.18,0,0.1,15,6,22,1000,5.5,8
Halawa (CSM) Baseyard (Corporation Yard),50,15,0.52,0.18,0,0.1,15,6,22,1000,5.5,8
Halawa (DRM) Corporation Yard,50,15,0.52,0.18,0,0.1,15,6,22,1000,5.5,8
Honolulu Zoo,0,0.5,0.18,0.01,0.005,0.03,15,2.9,95,1000,7.6,8.6
Honouliuli Wastewater Treatment Plant,50,15,0.52,0.18,0,0.1,15,6,22,1000,5.5,8
Kailua Corporation Yard,50,15,0.52,0.18,0,0.1,15,6,22,1000,5.5,8
Kailua Wastewater Treatment Plant,0,0,0,0,0,0,15,6,22,1000,5.5,8
Kakaako Fire Station and Main Complex,0,3,0.35,0.02,0.013,0.05,15,2.9,95,1000,7,8.6
Kalaheo Closed Sanitary Landfill,0,0,0,0,0,0,15,6,22,1000,5.5,8
Kalihi Police Station,50,15,0.52,0.18,0,0.1,15,6,22,1000,5.5,8
Kalihi-Palama Bus & Paratransit Facility,50,15,0.52,0.18,0,0.1,15,6,22,1000,5.5,8
Kapaa (AES) Corporation Yard,0,0,0,0,0,0,15,6,22,1000,5.5,8
Kapaa Closed Sanitary Landfill,0,0,0,0,0,0,15,6,22,1000,5.5,8
Kapaa Refuse Collection Yard,0,0,0,0,0,0,15,6,22,1000,5.5,8
Kapaa Refuse Transfer Station,0,0,0,0,0,0,15,6,22,1000,5.5,8
Kapiolani District (Regional) Park (including Maintenance Baseyard),0,0.5,0.18,0.01,0.005,0.03,15,2.9,95,1000,7.6,8.6
Kapolei Police Station,50,15,0.52,0.18,0,0.1,15,6,22,1000,5.5,8
Kawailoa Closed Sanitary Landfill,0,0,0,0,0,0,15,6,22,1000,5.5,8
Kawailoa Refuse Transfer Station,50,15,0.52,0.18,0,0.1,15,6,22,1000,5.5,8
Keehi Lagoon Park Maintenance Baseyard,0,3,0.35,0.02,0.013,0.05,15,2.9,95,1000,7,8.6
Keehi Refuse Transfer Station,50,15,0.52,0.18,0,0.1,15,6,22,1000,5.5,8
Laie Corporation & Refuse Collection Yard,50,15,0.52,0.18,0,0.1,15,6,22,1000,5.5,8
Makiki Fire Station,0,0,0,0,0,0,15,6,22,1000,5.5,8
Manana (DTS) Corporation Yard,50,15,0.52,0.18,0,0.1,15,6,22,1000,5.5,8
Manoa Fire Station,50,15,0.52,0.18,0,0.1,15,6,22,1000,5.5,8
Mokulele Fire Station and Training Center,0,8,0.55,0.04,0.02,0.13,15,2.9,95,1000,6.8,8.8
Neal Blaisdell Center,0,3,0.35,0.02,0.013,0.05,15,2.9,95,1000,7,8.6
Pali Golf Course,50,15,0.52,0.18,0,0.1,15,6,22,1000,5.5,8
Pearl City (AES) Corporation Yard,50,15,0.52,0.18,0,0.1,15,6,22,1000,5.5,8
Pearl City (DRM) Corporation Yard,50,15,0.52,0.18,0,0.1,15,6,22,1000,5.5,8
Pearl City Bus Facility,50,15,0.52,0.18,0,0.1,15,6,22,1000,5.5,8
Pearl City Fire Station,0,8,0.55,0.04,0.02,0.13,15,2.9,95,1000,6.8,8.8
Pearl City Refuse Collection Yard,30,5.5,0.38,0.09,0,0.06,15,6,22,1000,5.5,8
Sand Island Wastewater Treatment Plant,0,3,0.35,0.02,0.013,0.05,15,2.9,95,1000,7,8.6
Umi Street (AES) Fueling Facility,30,5.5,0.38,0.09,0,0.06,15,6,22,1000,5.5,8
Wahiawa Police Station,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Wahiawa Refuse Convenience Center,50,15,0.52,0.18,0,0.1,15,6,22,1000,5.5,8
Wahiawa Wastewater Treatment Plant,0,0,0,0,0,0,15,6,22,1000,5.5,8
Waianae Closed Sanitary Landfill,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Waianae Wastewater Treatment Plant,0,1.25,0.25,0.014,0.0085,0.04,15,2.9,95,1000,7.6,8.6
Waikiki Fire Station,0,3,0.35,0.025,0.01,0.05,15,2.9,95,1000,7,8.6
Waikiki Shell,0,0.5,0.18,0.01,0.005,0.03,15,2.9,95,1000,7.6,8.6
Waimanalo Refuse Convenience Center,50,15,0.52,0.18,0,0.1,15,6,22,1000,5.5,8
Waipahu Closed Sanitary Landfill,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Waipio Soccer Complex (including Maintenance Baseyard),0,8,0.55,0.04,0.02,0.13,15,2.9,95,1000,6.8,8.8
Grand Total,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
